year,year-href,date,win/loss
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/18/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/7/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/14/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/27/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/26/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/16/11,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,6/27/11,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/13/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/22/18,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/25/17,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/24/17,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/30/17,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/3/16,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,8/28/16,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,6/26/16,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,6/7/16,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/9/16,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/28/16,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/3/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/26/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/10/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/8/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/7/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/5/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,4/3/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/30/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/27/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/25/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/24/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/22/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/12/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/3/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/1/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/27/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/25/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/10/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/8/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/6/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/1/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/25/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/23/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/21/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/19/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/15/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/11/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/9/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/7/15,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/4/15,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/30/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/25/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/23/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/19/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/15/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/14/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/9/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/7/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/3/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,12/2/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/30/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/28/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/26/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/23/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/21/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/19/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/18/14,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/16/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/11/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/4/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/3/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/1/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,10/29/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,10/28/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,5/11/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/5/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/27/14,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/10/13,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/8/13,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,7/6/13,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,5/28/13,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/3/12,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,8/8/12,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,3/13/12,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,10/31/11,L
